Sentence_ID,Token,Type of Named Entity
1,Samaa,O
1,Bgtt,O
1,Bayangin,O
1,Dr,O
1,Tgl,B-time_expression
1,5,B-numeric
1,",",O
1,Dah,O
1,10,B-numeric
1,Hari,B-time_expression
1,Ga,O
1,Ada,B-complaint_topic
1,Update,O
1,Posisi,O
1,Nya,O
1,Dimana,O
1,",",O
1,Mana,O
1,Brg,O
1,Ny,O
1,Mau,O
1,Di,O
1,Pake,O
1,Buat,O
1,Konseran,O
1,😩,O
1,😩,O
1,😩,O
1,😩,O
2,Cdm,O
2,Skrg,B-time_expression
3,Kak,O
3,Mjb,B-brand
3,Paketnya,O
3,Udah,O
3,Ada,B-complaint_topic
3,Pergerakan,O
3,Belum,O
3,Kak,O
3,?,O
3,Punyaku,O
3,Juga,O
3,Dari,O
3,Tgl,B-time_expression
3,30,B-numeric
3,Ga,O
3,Ada,B-complaint_topic
3,Update,O
3,Sampai,O
3,Skrg,B-time_expression
3,🥲,O
4,Iyaa,O
4,Kak,O
4,Udahh,O
5,Dm,O
5,Ku,O
5,Blm,O
5,Dibales,O
5,Dri,O
5,Kmrn,O
5,.,O
6,Cdm,O
7,Hi,O
7,Kak,O
7,Rogami,O
7,",",O
7,Maaf,O
7,Banget,O
7,Ya,O
7,Udah,O
7,Buat,O
7,Kakak,O
7,Ga,O
7,Nyaman,O
7,.,O
7,Terkait,O
7,Kendala,B-complaint_topic
7,Pesanan,O
7,Yang,O
7,Kakak,O
7,Alami,O
7,",",O
7,Aku,O
7,Infoin,O
7,Kakak,O
7,Bisa,O
7,Chat,O
7,Aku,O
7,Dgn,O
7,Memberikan,O
7,Username,O
7,Serta,O
7,Memberikan,O
7,Nomor,O
7,Pesanan,O
7,Kakak,O
7,Melalui,O
7,Dm,O
7,Ke,O
7,Social,O
7,Media,O
7,/,O
7,Ya,O
7,.,O
7,Stay,O
7,Healthy,O
7,^,O
7,Rl,O
8,Cek,O
8,Dm,O
9,Pernah,O
9,Ada,B-complaint_topic
9,Yang,O
9,Ngalamin,O
9,Buka,O
9,Shopee,B-brand
9,Food,O
9,Di,O
9,Rumah,O
9,Tiba,O
9,Tiba,O
9,Malah,O
9,Shopee,B-brand
9,Nya,O
9,Lompat,O
9,Jauh,O
9,Banget,O
9,Maps,O
9,Nya,O
9,?,O
9,Padahal,O
9,Gak,O
9,Pernah,O
9,Pesen,O
9,Shopee,B-brand
9,Food,O
9,Di,O
9,Daerah,O
9,Itu,O
9,Juga,O
9,Gimana,O
9,Ni,O
9,Kalo,O
9,Belom,O
9,Mampu,O
9,Jadi,O
9,Super,O
9,App,O
9,Jangan,O
9,Nyoba,O
9,Nyoba,O
9,Jadi,O
9,Super,O
9,App,O
9,Lah,O
9,Udah,O
9,2x,O
9,Begini,O
10,Haii,O
10,Kak,O
10,Aspriyanti86825,B-numeric
10,Maaf,O
10,Sudah,O
10,Bikin,O
10,Tidak,B-complaint_topic
10,Nyaman,O
10,Terkait,O
10,Kendala,B-complaint_topic
10,Yang,O
10,Kamu,O
10,Alami,O
10,.,O
10,Agar,O
10,Aku,O
10,Bisa,O
10,Bantu,O
10,Cek,O
10,Boleh,O
10,Infoin,O
10,Detail,O
10,Kendala,B-complaint_topic
10,Kamu,O
10,Ke,O
10,Dm,O
10,Social,O
10,Media,O
10,Kita,O
10,X,O
10,/,O
10,Twitter,O
10,Melalui,O
10,Akun,O
10,Atau,O
10,.,O
10,Sehat,O
10,Selalu,O
10,^,O
10,On,O
11,Nomer,O
11,Pesanan,O
11,26052376hbk6u1,B-numeric
11,Username,O
11,Umarsaid592,B-numeric
12,Minn,O
12,Cek,O
12,Dm,O
12,Ya,O
13,Kurir²,B-numeric
13,Lu,O
13,Pada,O
13,Jelek,O
13,Bgt,O
13,",",O
13,Ga,O
13,On,O
13,Time,O
13,.,O
14,Hi,O
14,Kak,O
14,Macchiatolalala,O
14,",",O
14,Maaf,O
14,Ya,O
14,Terkait,O
14,Kendala,B-complaint_topic
14,Yg,O
14,Kamu,O
14,Alami,O
14,.,O
14,Agar,O
14,Bisa,O
14,Aku,O
14,Bantu,O
14,Pengecekan,O
14,Kendala,B-complaint_topic
14,Kamu,O
14,",",O
14,Mohon,O
14,Menghubungi,O
14,Aku,O
14,Melalui,O
14,Dm,O
14,Sosial,O
14,Media,O
14,Twitter,O
14,Kami,O
14,Dengan,O
14,Mengirimkan,O
14,Detail,O
14,Kendala,B-complaint_topic
14,Ya,O
14,Kak,O
14,.,O
14,Aku,O
14,Tunggu,O
14,^,O
14,Ky,O
15,Hi,O
15,Kak,O
15,Macchiatolalala,O
15,Mohon,O
15,Maaf,O
15,Terkait,O
15,Dengan,O
15,Kendala,B-complaint_topic
15,Yang,O
15,Kakak,O
15,Alami,O
15,Untuk,O
15,Dapat,O
15,Aku,O
15,Bantu,O
15,Cek,O
15,Boleh,O
15,Hubungi,O
15,Aku,O
15,Di,O
15,Dm,O
15,X,O
15,Ya,O
15,Kak,O
15,.,O
15,Terima,B-sentiment_indicator
15,Kasih,B-sentiment_indicator
15,^,O
15,Jk,O
16,Cek,O
16,Dm,O
17,Min,O
17,Cek,O
17,Dm,O
18,Min,O
18,Bales,O
18,Akuu,O
18,🥺,O
19,Ini,O
