Sentence_ID,Token string,Token kind,Contextual features,Morphological features,Part-of-speech features,Type of Named Entity
1,Samaa,WORD,,"TitleCase, CapStart",ADV,""""""
1,bgtt,WORD,,LowerCase,ADV,""""""
1,bayangin,WORD,,LowerCase,VERB,""""""
1,dr,WORD,,LowerCase,PREP,""""""
1,tgl,WORD,,LowerCase,NOUN,""""""
1,5,NUM,,Digit,,""""""
1,",",OPUNC,,,,""""""
1,dah,WORD,,LowerCase,OOV,""""""
1,10,NUM,,Digit,,""""""
1,hari,WORD,,LowerCase,NOUN,""""""
1,ga,WORD,,LowerCase,ADV,""""""
1,ada,WORD,,LowerCase,VERB,""""""
1,update,WORD,,LowerCase,VERB,""""""
1,posisi,WORD,,LowerCase,NOUN,""""""
1,nya,WORD,,LowerCase,PRON,""""""
1,dimana,WORD,,LowerCase,PREP,""""""
1,",",OPUNC,,,,""""""
1,mana,WORD,,LowerCase,PREP,""""""
1,brg,WORD,,LowerCase,NOUN,""""""
1,ny,WORD,,LowerCase,PRON,""""""
1,mau,WORD,,LowerCase,ADV,""""""
1,di,WORD,,LowerCase,PREP,""""""
1,pake,WORD,,LowerCase,VERB,""""""
1,buat,WORD,,LowerCase,PREP,""""""
1,konseran,WORD,,LowerCase,NOUN,""""""
1,😩,PUNC,,,OOV,""""""
1,😩,PUNC,,,OOV,""""""
1,😩,PUNC,,,OOV,""""""
1,😩,PUNC,,,OOV,""""""
2,cdm,WORD,,LowerCase,OOV,""""""
2,skrg,WORD,,LowerCase,ADV,""""""
3,kak,WORD,,LowerCase,NOUN,""""""
3,mjb,WORD,,LowerCase,OOV,""""""
3,paketnya,WORD,,LowerCase,NOUN,""""""
3,udah,WORD,,LowerCase,ADV,""""""
3,ada,WORD,,LowerCase,VERB,""""""
3,pergerakan,WORD,,LowerCase,NOUN,""""""
3,belum,WORD,,LowerCase,ADV,""""""
3,kak,WORD,,LowerCase,NOUN,""""""
3,?,EPUNC,,,,""""""
3,punyaku,WORD,,LowerCase,NOUN,""""""
3,juga,WORD,,LowerCase,ADV,""""""
3,dari,WORD,,LowerCase,PREP,""""""
3,tgl,WORD,,LowerCase,NOUN,""""""
3,30,NUM,,Digit,,""""""
3,ga,WORD,,LowerCase,ADV,""""""
3,ada,WORD,,LowerCase,VERB,""""""
3,update,WORD,,LowerCase,VERB,""""""
3,sampai,WORD,,LowerCase,PREP,""""""
3,skrg,WORD,,LowerCase,ADV,""""""
3,🥲,PUNC,,,OOV,""""""
4,iyaa,WORD,,LowerCase,ADV,""""""
4,kak,WORD,,LowerCase,NOUN,""""""
4,udahh,WORD,,LowerCase,ADV,""""""
