conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2.06E+18,2026-06-15T02:46:57.000Z,0,"@chells_yaa @ShopeeCare @ShopeeID Samaa bgtt bayangin dr tgl 5, dah 10 hari ga ada update posisi nya dimana, mana brg ny mau di pake buat konseran 😩😩😩😩 https://t.co/T83T3W1TZk",2.07E+18,https://pbs.twimg.com/media/HK0n8RgaIAAYf_N.jpg,chells_yaa,in,,0,1,0,https://x.com/hi_bibian/status/2066351725896990954,1361515278,hi_bibian
2.07E+18,2026-06-15T02:24:11.000Z,0,cdm skrg @ShopeeCare,2.07E+18,,,in,,0,2,0,https://x.com/KONlMEX/status/2066345996540580147,1.36E+18,KONlMEX
2.06E+18,2026-06-15T00:49:04.000Z,0,@chells_yaa @ShopeeCare @ShopeeID kak mjb paketnya udah ada pergerakan belum kak? punyaku juga dari tgl 30 ga ada update sampai skrg 🥲,2.07E+18,,chells_yaa,in,,0,1,0,https://x.com/arlckino/status/2066322059849052359,1.77E+18,arlckino
2.04E+18,2026-06-15T00:30:23.000Z,0,@Thege0410 @Esteres09785772 @nanaappsprem @ShopeeID @ShopeeCare @ojkindonesia iyaa kak udahh,2.07E+18,,Thege0410,in,,0,1,0,https://x.com/_trustme14/status/2066317359711989872,1.62E+18,_trustme14
2.07E+18,2026-06-14T22:50:56.000Z,0,@ShopeeCare dm ku blm dibales dri kmrn.,2.07E+18,,ShopeeCare,in,,0,0,0,https://x.com/2leemjen/status/2066292333994467512,1.24E+18,2leemjen
2.07E+18,2026-06-14T22:48:55.000Z,0,@ShopeeCare cdm,2.07E+18,,ShopeeCare,und,,0,1,0,https://x.com/cejen423/status/2066291826328543556,1.55E+18,cejen423
2.07E+18,2026-06-14T21:15:32.000Z,0,"@Roga480 @ShopeeCare Hi kak Rogami,  maaf banget ya udah buat kakak ga nyaman. terkait kendala pesanan yang kakak alami, aku infoin kakak bisa chat aku dgn memberikan username serta memberikan nomor pesanan kakak melalui DM ke Social Media @ShopeeID /@Shopeecare ya. Stay Healthy  ^RL",2.07E+18,,Roga480,in,,0,0,0,https://x.com/ShopeeID/status/2066268324426821637,2983890506,ShopeeID
2.07E+18,2026-06-14T17:21:51.000Z,0,@ShopeeCare cek dm,2.07E+18,,ShopeeCare,tr,,0,2,0,https://x.com/KONlMEX/status/2066209515272589452,1.36E+18,KONlMEX
2.07E+18,2026-06-14T17:05:57.000Z,1,Pernah ada yang ngalamin buka shopee food di rumah tiba tiba malah shopee nya lompat jauh banget maps nya? Padahal gak pernah pesen shopee food di daerah itu juga Gimana ni kalo belom mampu jadi super app jangan nyoba nyoba jadi super app lah udah 2x begini @ShopeeID @ShopeeCare https://t.co/WM37ZYxtFr,2.07E+18,https://pbs.twimg.com/media/HKyi9xPaQAAC5NZ.jpg,,in,,0,2,0,https://x.com/Roga480/status/2066205514527346815,1.89E+18,Roga480
2.07E+18,2026-06-14T16:30:46.000Z,0,"@aspriyanti86825 Haii kak aspriyanti86825
Maaf sudah bikin tidak nyaman terkait kendala yang kamu alami. Agar aku bisa bantu cek boleh infoin detail kendala kamu ke DM Social Media kita X/Twitter melalui akun @shopeeID atau @shopeecare. Sehat selalu^ON",2.07E+18,,aspriyanti86825,in,,0,1,0,https://x.com/ShopeeCare/status/2066196660989149185,3410708592,ShopeeCare
