Sentence_ID,Token,Type of Named Entity
1,Samaa,""""""
1,Bgtt,""""""
1,Bayangin,""""""
1,Dr,""""""
1,Tgl,""""""
1,5,""""""
1,",",""""""
1,Dah,""""""
1,10,""""""
1,Hari,""""""
1,Ga,""""""
1,Ada,""""""
1,Update,""""""
1,Posisi,""""""
1,Nya,""""""
1,Dimana,""""""
1,",",""""""
1,Mana,""""""
1,Brg,""""""
1,Ny,""""""
1,Mau,""""""
1,Di,""""""
1,Pake,""""""
1,Buat,""""""
1,Konseran,""""""
1,😩,""""""
1,😩,""""""
1,😩,""""""
1,😩,""""""
2,Cdm,""""""
2,Skrg,""""""
3,Kak,""""""
3,Mjb,""""""
3,Paketnya,""""""
3,Udah,""""""
3,Ada,""""""
3,Pergerakan,""""""
3,Belum,""""""
3,Kak,""""""
3,?,""""""
3,Punyaku,""""""
3,Juga,""""""
3,Dari,""""""
3,Tgl,""""""
3,30,""""""
3,Ga,""""""
3,Ada,""""""
3,Update,""""""
3,Sampai,""""""
3,Skrg,""""""
3,🥲,""""""
4,Iyaa,""""""
4,Kak,""""""
4,Udahh,""""""
5,Dm,""""""
5,Ku,""""""
5,Blm,""""""
5,Dibales,""""""
5,Dri,""""""
5,Kmrn,""""""
5,.,""""""
6,Cdm,""""""
7,Hi,""""""
7,Kak,""""""
7,Rogami,""""""
7,",",""""""
7,Maaf,""""""
7,Banget,""""""
7,Ya,""""""
7,Udah,""""""
7,Buat,""""""
7,Kakak,""""""
7,Ga,""""""
7,Nyaman,""""""
7,.,""""""
7,Terkait,""""""
7,Kendala,""""""
7,Pesanan,""""""
7,Yang,""""""
7,Kakak,""""""
7,Alami,""""""
7,",",""""""
7,Aku,""""""
7,Infoin,""""""
7,Kakak,""""""
7,Bisa,""""""
7,Chat,""""""
7,Aku,""""""
7,Dgn,""""""
7,Memberikan,""""""
7,Username,""""""
7,Serta,""""""
7,Memberikan,""""""
7,Nomor,""""""
7,Pesanan,""""""
7,Kakak,""""""
7,Melalui,""""""
7,Dm,""""""
7,Ke,""""""
7,Social,""""""
7,Media,""""""
7,/,""""""
7,Ya,""""""
7,.,""""""
7,Stay,""""""
7,Healthy,""""""
7,^,""""""
7,Rl,""""""
8,Cek,""""""
8,Dm,""""""
9,Pernah,""""""
9,Ada,""""""
9,Yang,""""""
9,Ngalamin,""""""
9,Buka,""""""
9,Shopee,""""""
9,Food,""""""
9,Di,""""""
9,Rumah,""""""
9,Tiba,""""""
9,Tiba,""""""
9,Malah,""""""
9,Shopee,""""""
9,Nya,""""""
9,Lompat,""""""
9,Jauh,""""""
9,Banget,""""""
9,Maps,""""""
9,Nya,""""""
9,?,""""""
9,Padahal,""""""
9,Gak,""""""
9,Pernah,""""""
9,Pesen,""""""
9,Shopee,""""""
9,Food,""""""
9,Di,""""""
9,Daerah,""""""
9,Itu,""""""
9,Juga,""""""
9,Gimana,""""""
9,Ni,""""""
9,Kalo,""""""
9,Belom,""""""
9,Mampu,""""""
9,Jadi,""""""
9,Super,""""""
9,App,""""""
9,Jangan,""""""
9,Nyoba,""""""
9,Nyoba,""""""
9,Jadi,""""""
9,Super,""""""
9,App,""""""
9,Lah,""""""
9,Udah,""""""
9,2x,""""""
9,Begini,""""""
10,Haii,""""""
10,Kak,""""""
10,Aspriyanti86825,""""""
10,Maaf,""""""
10,Sudah,""""""
10,Bikin,""""""
10,Tidak,""""""
10,Nyaman,""""""
10,Terkait,""""""
10,Kendala,""""""
10,Yang,""""""
10,Kamu,""""""
10,Alami,""""""
10,.,""""""
10,Agar,""""""
10,Aku,""""""
10,Bisa,""""""
10,Bantu,""""""
10,Cek,""""""
10,Boleh,""""""
10,Infoin,""""""
10,Detail,""""""
10,Kendala,""""""
10,Kamu,""""""
10,Ke,""""""
10,Dm,""""""
10,Social,""""""
10,Media,""""""
10,Kita,""""""
10,X,""""""
10,/,""""""
10,Twitter,""""""
10,Melalui,""""""
10,Akun,""""""
10,Atau,""""""
10,.,""""""
10,Sehat,""""""
10,Selalu,""""""
10,^,""""""
10,On,""""""
11,Nomer,""""""
11,Pesanan,""""""
11,26052376hbk6u1,""""""
11,Username,""""""
11,Umarsaid592,""""""
12,Minn,""""""
12,Cek,""""""
12,Dm,""""""
12,Ya,""""""
13,Kurir²,""""""
13,Lu,""""""
13,Pada,""""""
13,Jelek,""""""
13,Bgt,""""""
13,",",""""""
13,Ga,""""""
13,On,""""""
13,Time,""""""
13,.,""""""
14,Hi,""""""
14,Kak,""""""
14,Macchiatolalala,""""""
14,",",""""""
14,Maaf,""""""
14,Ya,""""""
14,Terkait,""""""
14,Kendala,""""""
