"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2069880633917387231","2026-06-24T20:29:34.000Z","0","pls @jntexpressid gimana ini paket hampir 10 hari ga sampe2 mau dipake nih barangnya ☠️","2069880633917387231","","","in","","0","1","0","https://x.com/ondemondae/status/2069880633917387231","1213834478189084673","ondemondae"
"2069850943756358029","2026-06-24T18:31:35.000Z","0","Paket JD0567480543 belum sampai ya min? Mohonbsolusi
@jntexpressid","2069850943756358029","","","in","","0","0","0","https://x.com/yukkie28/status/2069850943756358029","2812803818","yukkie28"
"2069748998190309412","2026-06-24T14:59:03.000Z","3","@RaidenKevin17 Mass nitip biar viral, gak ada respon dari pihak @jntexpressid , kronologi di ciledug indah nyalip dari kiri, gak ada iktikad minta maaf dan bertanggung jawab sampai saya emosi, dimintain ktp dan sim alasan disita pihak j&amp;t. https://t.co/jzEgzR3ZMJ","2069797458289496287","https://pbs.twimg.com/amplify_video_thumb/2069797341155258368/img/6WbOVielRivWeRvc.jpg","RaidenKevin17","in","","0","0","1","https://x.com/senyumulu/status/2069797458289496287","1186692041914212352","senyumulu"
"2069757759558648297","2026-06-24T13:46:37.000Z","0","@Masregf @suryacndrr @jntexpressid wkwkwkwk https://t.co/Hr0xdN4tA5","2069779231002014072","https://pbs.twimg.com/media/HLlVPQEW0AEEUtz.jpg","Masregf","in","","0","0","0","https://x.com/2n_duan/status/2069779231002014072","725747437","2n_duan"
"2069757759558648297","2026-06-24T13:44:22.000Z","0","@suryacndrr @jntexpressid paketin aja 😇","2069778660840853597","","suryacndrr","in","","0","1","0","https://x.com/Masregf/status/2069778660840853597","1678460323165245440","Masregf"
"2069757632009970092","2026-06-24T12:20:48.000Z","0","@jntexpressid paket saya bolak balik udah seminggu karna katanya awalnya TLC salah JD0567024425, tolong di tindak lanjuti","2069757632009970092","","jntexpressid","in","","0","0","0","https://x.com/lucky_jeremyl/status/2069757632009970092","422627826","lucky_jeremyl"
"2069724360429150210","2026-06-24T10:31:45.000Z","0","@mamaziyan01 @jntexpressid Hai kak, untuk layanan pengaduan kendalanya langsung di klik whatsApp bawah ini

WhatsApp: 0851-9861-1040 

Thanks`Hana!!!","2069730189911986561","","mamaziyan01","in","","0","0","0","https://x.com/PotpotAriel/status/2069730189911986561","1088512134","PotpotAriel"
"2069724360429150210","2026-06-24T10:08:35.000Z","0","@jntexpressid sial nih paket dari tanggal 3 Juni mentok terus belum tau sampe sampe wee bikin radang. Stop beli di tiktok shop su 👎","2069724360429150210","","jntexpressid","in","","0","3","0","https://x.com/mamaziyan01/status/2069724360429150210","233903654","mamaziyan01"
"2069708822940426589","2026-06-24T09:10:55.000Z","0","tolong dibantu maksimalkan untuk pengiriman hari ini atau buat penolakan pesanan kak, karena alasan keamanan produk. produk tsb gabisa kalo penyimpanannya asal dan gaada jaminan keaslian produk sesuai yg dikirim seller kalo hold terlalu lama @jntexpressid","2069709845146865925","","jejeeniy","in","","0","1","0","https://x.com/jejeeniy/status/2069709845146865925","1298589449312378882","jejeeniy"
"2069708822940426589","2026-06-24T09:06:51.000Z","0","halo kak, paket JZ4000342603 udah melebihi estimasi, tapi sampai hari ini ga juga dikirim oleh kurir. udah seminggu lohh, masa harus nunggu 1 bulan hold baru dikirim. alasan reschedule sepihak sampe sebulan masa dibenarkan? tolong di follow up yaa @jntexpressid","2069708822940426589","","","in","","0","3","0","https://x.com/jejeeniy/status/2069708822940426589","1298589449312378882","jejeeniy"
